"Year","Month","Hospital","Age.Categorisation","TotalPatients"
2014,"Jan","Bantry General Hospital"," 0-15",21
2014,"Jan","Bantry General Hospital","16-64",388
2014,"Jan","Bantry General Hospital","65+",240
2014,"Jan","Beaumont Hospital","NA",22
2014,"Jan","Beaumont Hospital"," 0-15",343
2014,"Jan","Beaumont Hospital","16-64",14816
2014,"Jan","Beaumont Hospital","65+",4741
2014,"Jan","Cappagh National Orthopaedic Hospital"," 0-15",21
2014,"Jan","Cappagh National Orthopaedic Hospital","16-64",1227
2014,"Jan","Cappagh National Orthopaedic Hospital","65+",534
2014,"Jan","Cavan General Hospital"," 0-15",689
2014,"Jan","Cavan General Hospital","16-64",3771
2014,"Jan","Cavan General Hospital","65+",1106
2014,"Jan","Childrens University Hospital Temple Street"," 0-15",9643
2014,"Jan","Childrens University Hospital Temple Street","16-64",187
2014,"Jan","Childrens University Hospital Temple Street","65+",1
2014,"Jan","Connolly Hospital","NA",1
2014,"Jan","Connolly Hospital"," 0-15",6
2014,"Jan","Connolly Hospital","16-64",6911
2014,"Jan","Connolly Hospital","65+",1456
2014,"Jan","Cork University Hospital"," 0-15",2583
2014,"Jan","Cork University Hospital","16-64",10902
2014,"Jan","Cork University Hospital","65+",3139
2014,"Jan","Croom Orthopaedic Hospital"," 0-15",214
2014,"Jan","Croom Orthopaedic Hospital","16-64",1455
2014,"Jan","Croom Orthopaedic Hospital","65+",506
2014,"Jan","Ennis Hospital"," 0-15",394
2014,"Jan","Ennis Hospital","16-64",1437
2014,"Jan","Ennis Hospital","65+",514
2014,"Jan","Galway University Hospital"," 0-15",2676
2014,"Jan","Galway University Hospital","16-64",15638
2014,"Jan","Galway University Hospital","65+",5180
2014,"Jan","Kerry General Hospital"," 0-15",683
2014,"Jan","Kerry General Hospital","16-64",3823
2014,"Jan","Kerry General Hospital","65+",1172
2014,"Jan","Letterkenny General Hospital"," 0-15",1338
2014,"Jan","Letterkenny General Hospital","16-64",7259
2014,"Jan","Letterkenny General Hospital","65+",2368
2014,"Jan","Louth County Hospital"," 0-15",69
2014,"Jan","Louth County Hospital","16-64",881
2014,"Jan","Louth County Hospital","65+",504
2014,"Jan","Mallow General Hospital"," 0-15",169
2014,"Jan","Mallow General Hospital","16-64",1263
2014,"Jan","Mallow General Hospital","65+",504
2014,"Jan","Mater Misericordiae University Hospital"," 0-15",50
2014,"Jan","Mater Misericordiae University Hospital","16-64",16092
2014,"Jan","Mater Misericordiae University Hospital","65+",5692
2014,"Jan","Mayo General Hospital"," 0-15",853
2014,"Jan","Mayo General Hospital","16-64",2581
2014,"Jan","Mayo General Hospital","65+",1048
2014,"Jan","Mercy University Hospital"," 0-15",495
2014,"Jan","Mercy University Hospital","16-64",3220
2014,"Jan","Mercy University Hospital","65+",1094
2014,"Jan","Midland Regional Hospital Mullingar"," 0-15",1103
2014,"Jan","Midland Regional Hospital Mullingar","16-64",4064
2014,"Jan","Midland Regional Hospital Mullingar","65+",961
2014,"Jan","Midland Regional Hospital Portlaoise"," 0-15",516
2014,"Jan","Midland Regional Hospital Portlaoise","16-64",2151
2014,"Jan","Midland Regional Hospital Portlaoise","65+",520
2014,"Jan","Midland Regional Hospital Tullamore"," 0-15",1370
2014,"Jan","Midland Regional Hospital Tullamore","16-64",5570
2014,"Jan","Midland Regional Hospital Tullamore","65+",1814
2014,"Jan","Naas General Hospital"," 0-15",9
2014,"Jan","Naas General Hospital","16-64",3660
2014,"Jan","Naas General Hospital","65+",986
2014,"Jan","Nenagh Hospital"," 0-15",218
2014,"Jan","Nenagh Hospital","16-64",1168
2014,"Jan","Nenagh Hospital","65+",373
2014,"Jan","Our Lady of Lourdes Hospital Drogheda"," 0-15",2282
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","16-64",4820
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","65+",1330
2014,"Jan","Our Lady's Children's Hospital Crumlin"," 0-15",11667
2014,"Jan","Our Lady's Children's Hospital Crumlin","16-64",296
2014,"Jan","Our Lady's Children's Hospital Crumlin","65+",1
2014,"Jan","Our Lady's Hospital Navan"," 0-15",74
2014,"Jan","Our Lady's Hospital Navan","16-64",3262
2014,"Jan","Our Lady's Hospital Navan","65+",871
2014,"Jan","Portiuncula Hospital"," 0-15",445
2014,"Jan","Portiuncula Hospital","16-64",1993
2014,"Jan","Portiuncula Hospital","65+",585
2014,"Jan","Roscommon Hospital"," 0-15",158
2014,"Jan","Roscommon Hospital","16-64",956
2014,"Jan","Roscommon Hospital","65+",485
2014,"Jan","Royal Victoria Eye and Ear Hospital"," 0-15",759
2014,"Jan","Royal Victoria Eye and Ear Hospital","16-64",3782
2014,"Jan","Royal Victoria Eye and Ear Hospital","65+",2387
2014,"Jan","Sligo Regional Hospital"," 0-15",1211
2014,"Jan","Sligo Regional Hospital","16-64",5586
