"Year","Month","Hospital","Time.Bands","TotalPatients"
2014,"Jan","Bantry General Hospital"," 0-3 Months",392
2014,"Jan","Bantry General Hospital"," 3-6 Months",181
2014,"Jan","Bantry General Hospital"," 6-9 Months",71
2014,"Jan","Bantry General Hospital"," 9-12 Months",4
2014,"Jan","Bantry General Hospital","12-15 Months",1
2014,"Jan","Beaumont Hospital"," 0-3 Months",8285
2014,"Jan","Beaumont Hospital"," 3-6 Months",5789
2014,"Jan","Beaumont Hospital"," 6-9 Months",3905
2014,"Jan","Beaumont Hospital"," 9-12 Months",1908
2014,"Jan","Beaumont Hospital","12-15 Months",34
2014,"Jan","Beaumont Hospital","18+ Months",1
2014,"Jan","Cappagh National Orthopaedic Hospital"," 0-3 Months",703
2014,"Jan","Cappagh National Orthopaedic Hospital"," 3-6 Months",568
2014,"Jan","Cappagh National Orthopaedic Hospital"," 6-9 Months",364
2014,"Jan","Cappagh National Orthopaedic Hospital"," 9-12 Months",143
2014,"Jan","Cappagh National Orthopaedic Hospital","12-15 Months",4
2014,"Jan","Cavan General Hospital"," 0-3 Months",2316
2014,"Jan","Cavan General Hospital"," 3-6 Months",1486
2014,"Jan","Cavan General Hospital"," 6-9 Months",1071
2014,"Jan","Cavan General Hospital"," 9-12 Months",650
2014,"Jan","Cavan General Hospital","12-15 Months",43
2014,"Jan","Childrens University Hospital Temple Street"," 0-3 Months",3688
2014,"Jan","Childrens University Hospital Temple Street"," 3-6 Months",2510
2014,"Jan","Childrens University Hospital Temple Street"," 6-9 Months",1863
2014,"Jan","Childrens University Hospital Temple Street"," 9-12 Months",1201
2014,"Jan","Childrens University Hospital Temple Street","12-15 Months",247
2014,"Jan","Childrens University Hospital Temple Street","15-18 Months",62
2014,"Jan","Childrens University Hospital Temple Street","18+ Months",260
2014,"Jan","Connolly Hospital"," 0-3 Months",3604
2014,"Jan","Connolly Hospital"," 3-6 Months",2028
2014,"Jan","Connolly Hospital"," 6-9 Months",1994
2014,"Jan","Connolly Hospital"," 9-12 Months",705
2014,"Jan","Connolly Hospital","12-15 Months",43
2014,"Jan","Cork University Hospital"," 0-3 Months",7159
2014,"Jan","Cork University Hospital"," 3-6 Months",4323
2014,"Jan","Cork University Hospital"," 6-9 Months",3112
2014,"Jan","Cork University Hospital"," 9-12 Months",1754
2014,"Jan","Cork University Hospital","12-15 Months",275
2014,"Jan","Cork University Hospital","18+ Months",1
