"Year","Hospital","Month","TotalPatients"
2014,"Bantry General Hospital","Jan",649
2014,"Bantry General Hospital","Feb",678
2014,"Bantry General Hospital","Mar",668
2014,"Bantry General Hospital","Apr",735
2014,"Bantry General Hospital","May",751
2014,"Bantry General Hospital","Jun",815
2014,"Bantry General Hospital","Jul",956
2014,"Bantry General Hospital","Aug",1146
2014,"Bantry General Hospital","Sep",1229
2014,"Bantry General Hospital","Oct",1391
2014,"Bantry General Hospital","Nov",1528
2014,"Bantry General Hospital","Dec",1630
2014,"Beaumont Hospital","Jan",19922
2014,"Beaumont Hospital","Feb",20593
2014,"Beaumont Hospital","Mar",21304
2014,"Beaumont Hospital","Apr",21229
2014,"Beaumont Hospital","May",20719
2014,"Beaumont Hospital","Jun",21271
2014,"Beaumont Hospital","Jul",21413
2014,"Beaumont Hospital","Aug",20823
2014,"Beaumont Hospital","Sep",21078
2014,"Beaumont Hospital","Oct",21867
2014,"Beaumont Hospital","Nov",22704
2014,"Beaumont Hospital","Dec",22593
2014,"Cappagh National Orthopaedic Hospital","Jan",1782
2014,"Cappagh National Orthopaedic Hospital","Feb",1715
2014,"Cappagh National Orthopaedic Hospital","Mar",1692
2014,"Cappagh National Orthopaedic Hospital","Apr",1662
2014,"Cappagh National Orthopaedic Hospital","May",1640
2014,"Cappagh National Orthopaedic Hospital","Jun",1553
2014,"Cappagh National Orthopaedic Hospital","Jul",1627
2014,"Cappagh National Orthopaedic Hospital","Aug",1657
2014,"Cappagh National Orthopaedic Hospital","Sep",1586
2014,"Cappagh National Orthopaedic Hospital","Oct",1560
2014,"Cappagh National Orthopaedic Hospital","Nov",1481
2014,"Cappagh National Orthopaedic Hospital","Dec",1439
2014,"Cavan General Hospital","Jan",5566
2014,"Cavan General Hospital","Feb",5900
2014,"Cavan General Hospital","Mar",6201
2014,"Cavan General Hospital","Apr",6304
2014,"Cavan General Hospital","May",6389
2014,"Cavan General Hospital","Jun",6687
2014,"Cavan General Hospital","Jul",7067
2014,"Cavan General Hospital","Aug",7363
2014,"Cavan General Hospital","Sep",7385
2014,"Cavan General Hospital","Oct",7281
2014,"Cavan General Hospital","Nov",7463
2014,"Cavan General Hospital","Dec",7359
2014,"Childrens University Hospital Temple Street","Jan",9831
2014,"Childrens University Hospital Temple Street","Feb",10220
2014,"Childrens University Hospital Temple Street","Mar",10396
2014,"Childrens University Hospital Temple Street","Apr",9836
2014,"Childrens University Hospital Temple Street","May",10244
2014,"Childrens University Hospital Temple Street","Jun",10609
2014,"Childrens University Hospital Temple Street","Jul",10270
2014,"Childrens University Hospital Temple Street","Aug",9860
2014,"Childrens University Hospital Temple Street","Sep",10427
2014,"Childrens University Hospital Temple Street","Oct",10655
2014,"Childrens University Hospital Temple Street","Nov",10853
2014,"Childrens University Hospital Temple Street","Dec",11038
2014,"Connolly Hospital","Jan",8374
2014,"Connolly Hospital","Feb",8569
2014,"Connolly Hospital","Mar",8581
2014,"Connolly Hospital","Apr",8477
2014,"Connolly Hospital","May",7977
2014,"Connolly Hospital","Jun",7938
2014,"Connolly Hospital","Jul",8336
2014,"Connolly Hospital","Aug",8515
2014,"Connolly Hospital","Sep",8695
2014,"Connolly Hospital","Oct",8916
2014,"Connolly Hospital","Nov",8980
2014,"Connolly Hospital","Dec",9132
2014,"Cork University Hospital","Jan",16624
2014,"Cork University Hospital","Feb",17384
2014,"Cork University Hospital","Mar",18052
2014,"Cork University Hospital","Apr",18932
2014,"Cork University Hospital","May",19737
2014,"Cork University Hospital","Jun",20295
2014,"Cork University Hospital","Jul",21519
2014,"Cork University Hospital","Aug",21905
2014,"Cork University Hospital","Sep",22227
2014,"Cork University Hospital","Oct",23244
2014,"Cork University Hospital","Nov",23638
2014,"Cork University Hospital","Dec",23899
2014,"Croom Orthopaedic Hospital","Jan",2175
2014,"Croom Orthopaedic Hospital","Feb",2052
2014,"Croom Orthopaedic Hospital","Mar",2242
2014,"Croom Orthopaedic Hospital","Apr",2383
2014,"Croom Orthopaedic Hospital","May",2360
2014,"Croom Orthopaedic Hospital","Jun",2701
2014,"Croom Orthopaedic Hospital","Jul",3035
2014,"Croom Orthopaedic Hospital","Aug",3066
2014,"Croom Orthopaedic Hospital","Sep",3336
2014,"Croom Orthopaedic Hospital","Oct",3328
2014,"Croom Orthopaedic Hospital","Nov",3385
2014,"Croom Orthopaedic Hospital","Dec",3498
2014,"Ennis Hospital","Jan",2345
2014,"Ennis Hospital","Feb",2439
2014,"Ennis Hospital","Mar",2420
2014,"Ennis Hospital","Apr",2431
2014,"Ennis Hospital","May",2536
2014,"Ennis Hospital","Jun",2501
2014,"Ennis Hospital","Jul",2528
2014,"Ennis Hospital","Aug",2661
2014,"Ennis Hospital","Sep",2679
2014,"Ennis Hospital","Oct",2608
2014,"Ennis Hospital","Nov",2556
2014,"Ennis Hospital","Dec",2573
2014,"Galway University Hospital","Jan",23494
2014,"Galway University Hospital","Feb",26639
2014,"Galway University Hospital","Mar",27483
2014,"Galway University Hospital","Apr",28415
2014,"Galway University Hospital","May",28161
2014,"Galway University Hospital","Jun",26678
2014,"Galway University Hospital","Jul",27786
2014,"Galway University Hospital","Aug",28558
2014,"Galway University Hospital","Sep",29088
2014,"Galway University Hospital","Oct",29335
2014,"Galway University Hospital","Nov",29998
2014,"Galway University Hospital","Dec",34008
2014,"Kerry General Hospital","Jan",5678
2014,"Kerry General Hospital","Feb",5841
2014,"Kerry General Hospital","Mar",6113
2014,"Kerry General Hospital","Apr",6787
2014,"Kerry General Hospital","May",6997
2014,"Kerry General Hospital","Jun",7314
2014,"Kerry General Hospital","Jul",7650
2014,"Kerry General Hospital","Aug",7939
2014,"Kerry General Hospital","Sep",7846
2014,"Kerry General Hospital","Oct",7906
2014,"Kerry General Hospital","Nov",7858
2014,"Kerry General Hospital","Dec",7842
2014,"Letterkenny General Hospital","Jan",10965
2014,"Letterkenny General Hospital","Feb",11289
2014,"Letterkenny General Hospital","Mar",11595
2014,"Letterkenny General Hospital","Apr",11900
2014,"Letterkenny General Hospital","May",12195
2014,"Letterkenny General Hospital","Jun",12699
2014,"Letterkenny General Hospital","Jul",13303
2014,"Letterkenny General Hospital","Aug",13561
2014,"Letterkenny General Hospital","Sep",13762
2014,"Letterkenny General Hospital","Oct",14076
2014,"Letterkenny General Hospital","Nov",14273
2014,"Letterkenny General Hospital","Dec",15899
2014,"Louth County Hospital","Jan",1454
2014,"Louth County Hospital","Feb",1478
2014,"Louth County Hospital","Mar",1556
