"Year","Month","Hospital","Specialty","TotalPatients"
2014,"Jan","Bantry General Hospital","Dermatology",87
2014,"Jan","Bantry General Hospital","General Medicine",250
2014,"Jan","Bantry General Hospital","General Surgery",145
2014,"Jan","Bantry General Hospital","Orthopaedics",163
2014,"Jan","Bantry General Hospital","Paediatrics",4
2014,"Jan","Beaumont Hospital","Anaesthetics",93
2014,"Jan","Beaumont Hospital","Breast Surgery",307
2014,"Jan","Beaumont Hospital","Cardiology",1188
2014,"Jan","Beaumont Hospital","Clinical Immunology",215
2014,"Jan","Beaumont Hospital","Dermatology",1911
2014,"Jan","Beaumont Hospital","Endocrinology",918
2014,"Jan","Beaumont Hospital","Gastro-Enterology",942
2014,"Jan","Beaumont Hospital","General Surgery",884
2014,"Jan","Beaumont Hospital","Geriatric Medicine",147
2014,"Jan","Beaumont Hospital","Gynaecology",663
2014,"Jan","Beaumont Hospital","Haematology",297
2014,"Jan","Beaumont Hospital","Infectious Diseases",37
2014,"Jan","Beaumont Hospital","Maxillo-Facial",16
2014,"Jan","Beaumont Hospital","Nephrology",62
2014,"Jan","Beaumont Hospital","Neurology",1742
2014,"Jan","Beaumont Hospital","Neurosurgery",1430
2014,"Jan","Beaumont Hospital","Oncology",35
2014,"Jan","Beaumont Hospital","Ophthalmology",743
2014,"Jan","Beaumont Hospital","Orthopaedics",1469
2014,"Jan","Beaumont Hospital","Other",9
2014,"Jan","Beaumont Hospital","Otolaryngology (ENT)",1669
2014,"Jan","Beaumont Hospital","Pain Relief",917
2014,"Jan","Beaumont Hospital","Plastic Surgery",835
2014,"Jan","Beaumont Hospital","Psychiatry",73
2014,"Jan","Beaumont Hospital","Respiratory Medicine",1057
2014,"Jan","Beaumont Hospital","Rheumatology",525
2014,"Jan","Beaumont Hospital","Urology",1207
2014,"Jan","Beaumont Hospital","Vascular Surgery",531
2014,"Jan","Cappagh National Orthopaedic Hospital","Orthopaedics",1746
2014,"Jan","Cappagh National Orthopaedic Hospital","Rheumatology",36
2014,"Jan","Cavan General Hospital","Dermatology",418
2014,"Jan","Cavan General Hospital","General Medicine",939
2014,"Jan","Cavan General Hospital","General Surgery",764
2014,"Jan","Cavan General Hospital","Gynaecology",806
2014,"Jan","Cavan General Hospital","Haematology",6
2014,"Jan","Cavan General Hospital","Neurology",172
2014,"Jan","Cavan General Hospital","Orthopaedics",1127
2014,"Jan","Cavan General Hospital","Otolaryngology (ENT)",1037
2014,"Jan","Cavan General Hospital","Paediatrics",297
2014,"Jan","Childrens University Hospital Temple Street","Cardiology",920
2014,"Jan","Childrens University Hospital Temple Street","Child/Adolescent Psychiatry",12
2014,"Jan","Childrens University Hospital Temple Street","Clinical (Medical) Genetics",26
2014,"Jan","Childrens University Hospital Temple Street","Dental Surgery",8
2014,"Jan","Childrens University Hospital Temple Street","Dermatology",892
2014,"Jan","Childrens University Hospital Temple Street","Diabetes Mellitus",6
2014,"Jan","Childrens University Hospital Temple Street","Endocrinology",87
2014,"Jan","Childrens University Hospital Temple Street","General Surgery",1045
2014,"Jan","Childrens University Hospital Temple Street","Gynaecology",102
2014,"Jan","Childrens University Hospital Temple Street","Haematology",30
2014,"Jan","Childrens University Hospital Temple Street","Infectious Diseases",55
2014,"Jan","Childrens University Hospital Temple Street","Metabolic Medicine",72
2014,"Jan","Childrens University Hospital Temple Street","Neonatology",33
2014,"Jan","Childrens University Hospital Temple Street","Nephrology",193
2014,"Jan","Childrens University Hospital Temple Street","Neurology",380
2014,"Jan","Childrens University Hospital Temple Street","Neurosurgery",26
2014,"Jan","Childrens University Hospital Temple Street","Ophthalmology",1119
2014,"Jan","Childrens University Hospital Temple Street","Orthopaedics",786
2014,"Jan","Childrens University Hospital Temple Street","Other",7
2014,"Jan","Childrens University Hospital Temple Street","Otolaryngology (ENT)",1848
2014,"Jan","Childrens University Hospital Temple Street","Paediatrics",1205
2014,"Jan","Childrens University Hospital Temple Street","Pathology",29
2014,"Jan","Childrens University Hospital Temple Street","Plastic Surgery",384
2014,"Jan","Childrens University Hospital Temple Street","Respiratory Medicine",207
2014,"Jan","Childrens University Hospital Temple Street","Rheumatology",8
2014,"Jan","Childrens University Hospital Temple Street","Urology",351
2014,"Jan","Connolly Hospital","Cardiology",728
2014,"Jan","Connolly Hospital","Dermatology",750
2014,"Jan","Connolly Hospital","Endocrinology",350
2014,"Jan","Connolly Hospital","Gastro-Enterology",963
2014,"Jan","Connolly Hospital","General Medicine",19
2014,"Jan","Connolly Hospital","General Surgery",1520
2014,"Jan","Connolly Hospital","Geriatric Medicine",32
2014,"Jan","Connolly Hospital","Gynaecology",292
2014,"Jan","Connolly Hospital","Haematology",3
2014,"Jan","Connolly Hospital","Nephrology",51
2014,"Jan","Connolly Hospital","Neurology",228
2014,"Jan","Connolly Hospital","Ophthalmology",226
2014,"Jan","Connolly Hospital","Orthopaedics",1013
2014,"Jan","Connolly Hospital","Other",243
2014,"Jan","Connolly Hospital","Otolaryngology (ENT)",356
2014,"Jan","Connolly Hospital","Plastic Surgery",225
2014,"Jan","Connolly Hospital","Respiratory Medicine",630
