"Year","Specialty","TotalPatients"
2014,"Accident & Emergency",14
2014,"Anaesthetics",22959
2014,"Breast Surgery",23506
2014,"Cardio-Thoracic Surgery",2039
2014,"Cardiology",146462
2014,"Chemical Pathology",1057
2014,"Child/Adolescent Psychiatry",669
2014,"Clinical (Medical) Genetics",4896
2014,"Clinical Immunology",5449
2014,"Clinical Neurophysiology",10401
2014,"Clinical Pharmacology",285
2014,"Dental Surgery",1855
2014,"Dermatology",353110
2014,"Developmental Paediatrics",3258
2014,"Diabetes Mellitus",12828
2014,"Endocrinology",72056
2014,"G.P. Medicine",16
2014,"Gastro-Enterology",86853
2014,"Gastro-Intestinal Surgery",3275
2014,"General Medicine",245404
2014,"General Surgery",454597
2014,"Geriatric Medicine",20739
2014,"Gynaecology",225663
2014,"Haematology",37188
2014,"Hepato-Biliary Surgery",755
2014,"Histopathology",30
2014,"Immunology",3699
2014,"Infectious Diseases",2524
2014,"Maxillo-Facial",29305
2014,"Metabolic Medicine",1953
2014,"Neonatology",422
2014,"Nephrology",22711
2014,"Neurology",143752
2014,"Neurosurgery",42644
2014,"Obstetrics",1078
2014,"Oncology",3716
2014,"Ophthalmology",296466
2014,"Oral Surgery",15468
2014,"Orthopaedics",550171
2014,"Other",11236
2014,"Otolaryngology (ENT)",500579
2014,"Paed Cardiology",37355
2014,"Paed Endocrinology",3187
2014,"Paed Gastro-Enterol",9300
2014,"Paed Haematology",1809
2014,"Paed Nephrology",3014
2014,"Paed Oncology",11
2014,"Paed Orthopaedic",1115
2014,"Paediatric Dermatology",4683
2014,"Paediatric ENT",22129
2014,"Paediatric Neurology",4363
2014,"Paediatric Neurosurgery",125
2014,"Paediatric Respiratory Medicine",5657
2014,"Paediatric Surgery",2810
2014,"Paediatrics",122411
2014,"Pain Relief",53935
2014,"Palliative Medicine",264
2014,"Pathology",188
2014,"Plastic Surgery",126741
2014,"Psychiatry",3407
2014,"Radiology",68
2014,"Radiotherapy",619
2014,"Rehabilitation Medicine",204
